K-Fold,Min Leaf,Acc Tanpa SMOTE,Recall Tanpa SMOTE,Score Tanpa SMOTE,Acc SMOTE,Recall SMOTE,Score SMOTE
3,5,0.9355521022187689,0.9842683592683592,0.969653482153482,0.9468968531468532,0.9415438165438165,0.9431497275247275
3,10,0.9393426789260122,0.9797638547638549,0.967637502012502,0.9468968531468532,0.9415438165438165,0.9431497275247275
3,20,0.9412312224812225,0.9707662207662208,0.9619057212807213,0.9468968531468532,0.9404214820881487,0.94236409340576
3,30,0.925097664680998,0.9516372433039099,0.9436753697170362,0.9459498834498835,0.9415438165438165,0.9428656366156365
5,5,0.9412322274881518,0.9876404494382023,0.973717982853187,0.9450236966824646,0.9415730337078652,0.942608232600245
5,10,0.9440758293838861,0.9820224719101123,0.9706384791522444,0.9450236966824646,0.9415730337078652,0.942608232600245
5,20,0.9412322274881516,0.9696629213483148,0.9611337131902657,0.9459715639810427,0.9426966292134832,0.9436791096437509
5,30,0.9364928909952607,0.9617977528089886,0.9542062942648701,0.9421800947867298,0.9382022471910112,0.9393956014697268
10,5,0.9441060197663971,0.9876404494382023,0.9745801205366607,0.9430727762803235,0.9415730337078653,0.9420229564796028
10,10,0.9469362084456424,0.9842696629213483,0.9730696265786365,0.9421203953279426,0.940449438202247,0.9409507253399556
10,20,0.9450314465408806,0.9764044943820226,0.9669925800296799,0.9459029649595688,0.9438202247191011,0.9444450467912414
10,30,0.9459748427672956,0.9752808988764045,0.9664890820436718,0.9459029649595688,0.9438202247191011,0.9444450467912414
